NUM_ID|FE_CON_OPE|FE_VEN_FLU_R|FE_VEN_FLU_E|ACT_OPE|MON_ACT_OPE|ACT_OPE_ME|MON_ACT_OPE_ME|PAS_OPE|MON_PAS_OPE|PAS_OPE_MR|MON_PAS_OPE_MR|DUR_ACT|DUR_PAS|ID_GAR|NOCIONAL|MON_NOCIONAL|FECHAINFO
SWPCONVO2026001|2026-01-15|2026-06-30|2026-06-30|15000000|MXN|850000|USD|14800000|MXN|840000|USD|1825|1825|GAR-001|100000000|MXN|2026-06-23
SWPCONVO2026002|2026-02-10|2026-12-31|2026-12-31|28000000|MXN|1600000|USD|27500000|MXN|1580000|USD|3650|3650|GAR-002|200000000|MXN|2026-06-23
SWPCONVO2026003|2025-11-20|2027-06-30|2027-06-30|9500000|EUR|560000|USD|9300000|EUR|550000|USD|2190|2190|GAR-003|75000000|EUR|2026-06-23
SWPCONVO2026004|2026-03-05|2026-09-30|2026-09-30|45000000|MXN|2500000|USD|44200000|MXN|2460000|USD|912|912|GAR-004|300000000|MXN|2026-06-23
SWPCONVO2026005|2025-09-01|2028-09-01|2028-09-01|6800000|USD|6800000|USD|6700000|USD|6700000|USD|4745|4745|GAR-005|6800000|USD|2026-06-23
SWPCONVO2026006|2026-04-18|2027-04-18|2027-04-18|18500000|MXN|1050000|USD|18200000|MXN|1030000|USD|1460|1460|GAR-006|130000000|MXN|2026-06-23
SWPCONVO2026007|2026-01-30|2026-07-31|2026-07-31|3200000|EUR|190000|USD|3150000|EUR|186000|USD|730|730|GAR-007|25000000|EUR|2026-06-23
SWPCONVO2026008|2025-12-10|2028-12-10|2028-12-10|55000000|MXN|3100000|USD|54000000|MXN|3050000|USD|5475|5475|GAR-008|400000000|MXN|2026-06-23
SWPCONVO2026009|2026-05-22|2027-05-22|2027-05-22|12000000|JPY|80000|USD|11800000|JPY|78000|USD|1825|1825|GAR-009|1500000000|JPY|2026-06-23
SWPCONVO2026010|2026-02-28|2026-08-31|2026-08-31|22000000|MXN|1250000|CAD|21600000|MXN|1230000|CAD|547|547|GAR-010|160000000|MXN|2026-06-23
