TIPO_CUENTA_TRANSACCIONAL|CANAL_TRANSACCION|TIPO_OPERACION_REALIZADA_USUARIO|MONTO_OPERACION|FRECUENCIA_OPERACIONES|NUMERO_OPERACIONES|NUMERO_CLIENTES|NUMERO_CUENTAS|FECHA_INFO
11|206|101|15000.50|461|120|45|60|2026/07/01
13|207|102|8500.00|462|340|120|150|2026/07/01
14|208|103|125000.75|463|75|30|40|2026/07/01
15|209|104|4300.00|464|900|400|450|2026/07/01
16|210|101|67000.25|461|55|22|28|2026/07/01
18|211|102|230000.00|462|1200|560|600|2026/07/01
11|212|103|980.50|463|15|8|10|2026/07/01
13|213|104|54000.00|464|430|210|230|2026/07/01
14|206|101|3200.00|461|88|40|45|2026/07/01
15|207|102|760000.90|462|2500|1100|1200|2026/07/01
16|208|103|12300.00|463|64|25|30|2026/07/01
18|209|104|45000.50|464|310|140|160|2026/07/01
11|210|101|8900.00|461|150|70|80|2026/07/01
13|211|102|1500000.00|462|5400|2300|2500|2026/07/01
14|212|103|6700.25|464|42|18|20|2026/07/01
