TITULOOBJETO|PRECIO_VAL_MERCADO|CLASIFICACION_CONTABLE|Restriccion|Custodio|FechaValor|Cliente|NoTitulosCliente|NoTitulosCedidos|NoTitulosGarantia|FECHA_INFO
AEDUSD|98.12345678|PN|G|000111|0|000750|5000|1000|500|2026/06/16
ARSMXN|45.87654321|CV|NG|000750|1|000760|3000|200|100|2026/06/16
AUDJPY|112.50000000|DV|V|000760|0|000111|8000|0|300|2026/06/17
AUDMXN|18.99999999|CO|RP|000770|1|000775|2000|500|0|2026/06/17
AUDUSD|0.65432100|PN|CR|000775|0|000111|10000|2000|800|2026/06/17
BCIADMO|102.33000000|CV|G|000111|1|000750|1500|300|200|2026/06/18
BP0001M|99.87654321|DV|NG|000750|0|000760|6000|1200|400|2026/06/18
BP0001W|100.12300000|PN|V|000760|1|000111|4000|800|600|2026/06/18
BP0002M|97.55555555|CO|RP|000770|0|000775|7000|1500|900|2026/06/19
BP0003M|101.00000001|CV|CR|000775|1|000111|2500|400|150|2026/06/19
