TIPOOPERACION|TIPOFONDEO|FECHA_INICIO|FECHA_VENC|MONTO_OPER|MONEDA|CVE_ACREEDOR|CVE_OPERACION|TIP_REL_ACREED
1|2|20/06/2026|24/07/2026|4000000|MXN|ACR004|FOLIO00000000000000000000000000004|1
3|2|18/06/2026|25/07/2026|7000000|MXN|ACR007|FOLIO00000000000000000000000000007|4
1|2|16/06/2026|26/07/2026|10000000|MXN|ACR010|FOLIO00000000000000000000000000010|3
2|1|17/06/2026|23/07/2026|6000000|MXN|ACR006|FOLIO00000000000000000000000000006|3
3|3|18/06/2026|20/07/2026|2000000|MXN|ACR002|FOLIO00000000000000000000000000002|3
2|1|20/06/2026|29/07/2026|9000000|MXN|ACR009|FOLIO00000000000000000000000000009|2
2|2|17/06/2026|18/07/2026|1000000|MXN|ACR001|FOLIO00000000000000000000000000001|2
1|3|16/06/2026|21/07/2026|5000000|MXN|ACR005|FOLIO00000000000000000000000000005|2
4|1|19/06/2026|22/07/2026|3000000|MXN|ACR003|FOLIO00000000000000000000000000003|4
4|3|19/06/2026|27/07/2026|8000000|MXN|ACR008|FOLIO00000000000000000000000000008|1
1|1|16/06/2026|28/07/2026|11000000|MXN|ACR011|FOLIO00000000000000000000000000011|2
2|3|17/06/2026|30/07/2026|12000000|USD|ACR012|FOLIO00000000000000000000000000012|3
3|1|18/06/2026|01/08/2026|13000000|USD|ACR013|FOLIO00000000000000000000000000013|1
4|2|20/06/2026|03/08/2026|14000000|MXN|ACR014|FOLIO00000000000000000000000000014|4
4|2|19/06/2026|05/08/2026|15000000|USD|ACR015|FOLIO00000000000000000000000000015|2
