ID_PARTIDA|FECHA_ALTA|TIPO_CONCEPTO|MONTO_ALTA|MOVIMIENTO|IMPORTE_MOVIMIENTO|DETERIORO_MES|PTU_P|FECHA_FIN_DEVENGO|FECHA_INFO
CD-2026-000001|2026/01/15|CD-010|1500000.00|601|1500000.00|125000.00|18750.00|2026/12/31|2026/07/01
CD-2026-000002|2026/03/01|CD-020|320000.50|601|320000.50|26666.71|4000.01|2027/02/28|2026/07/01
CD-2026-000003|2026/02/10|CD-030|875000.00|630|145833.33|72916.67|10937.50|2026/08/10|2026/07/01
CD-2026-000004|2026/04/20|CD-040|240000.00|601|240000.00|20000.00|3000.00|2027/04/19|2026/07/01
CD-2026-000005|2026/05/05|CD-050|95000.75|620|95000.75|0.00|0.00|2027/05/04|2026/07/01
PA-2026-000001|2026/06/01|PA-010|450000.00|601|450000.00|0.00|0.00|2026/11/30|2026/07/01
PA-2026-000002|2026/01/01|PA-020|180000.00|601|180000.00|15000.00|2250.00|2026/12/31|2026/07/01
PA-2026-000003|2026/03/15|PA-030|720000.00|601|720000.00|60000.00|9000.00|2027/03/14|2026/07/01
PA-2026-000004|2026/04/01|PA-046|56000.00|630|9333.33|4666.67|700.00|2026/09/30|2026/07/01
PA-2026-000005|2026/02/28|PA-050|1100000.00|601|1100000.00|91666.67|13750.00|2027/02/27|2026/07/01
