FECHACONCERTACION|HORACONCERTACION|POSICIONOPERACION|FECHAINICIO|FECHAVENCIMIENTO|IMPORTEREPORTO|MONEDAPRECIOUNITARIO|TASAPREMIO|TITULOOBJETOREPORTO|PRECIOUNITARIOTITULOS|NUMEROTITULOSOBJETOREPORTO|CONTRAPARTEREPORTO|RESIDENCIA_CONTRAPARTE|PROPIA_TERCEROS|CLIENTE_PROV|CORROELECTRONICO|TIPOPOSTURA|OPERACIONBANCOTRABAJO|HAIRCUT|REP_SUSTITUCION|MODALIDAD_REPORTO|PLAZO_EVERGREEN|REP_CONJUNTO_VAL|REP_AG_TRIPARTITO|AGENTE_TRIPARTITO|TASA_REFERENCIA_PREMIO|SOBRETASA_PREMIO|PERIODO_PAGO_PREMIO|NUMEROIDENTIFICACIONOPERACION|CLASIFICACIONCONTABLEOPERACION|FECHAVENCIMIENTO_TITULO|OFICINA|EMISION|SERIE|TIPOVALOR|SOBRETASA|EMISOR|DIASXVENCER_CUPON|APLICA_ANEXO1C|CUSTODIO|FECHAVALOR|CLIENTE|RESTRICCION|TIPOTASAPREMIO|FECHA_INFO
2026/06/30|10.30|A|2026/06/30|2026/07/01|500000|MXN|8.2500|LD260703|98.45000000|5000|000111|MX|P|000820|80||P|1.50|N|SM|0|N|N|000000|999|0.0000|0|REP20260630-0001-A-MXN-001|PN|2026/12/15|R|CETES|260703|LD|0|000111|180|0|000111|0|000750|NG|N|2026/07/01
2026/06/30|11.15|P|2026/06/30|2026/07/03|1200000|MXN|7.9800|BI260918|102.35000000|12000|000750|MX|P|000830|10|A|T|2.00|N|SM|0|N|N|000000|080|0.0000|0|REP20260630-0002-P-MXN-002|DV|2026/09/18|R|BONDES|260918|BI|0|000750|90|0|000750|0|000111|NG|N|2026/07/01
2026/06/30|09.45|A|2026/06/30|2026/07/07|3500000|MXN|8.5000|LD261204|97.80000000|35000|000760|MX|T|000820|35|B|P|1.00|S|SM|0|N|S|000111|070|0.2500|7|REP20260630-0003-A-MXN-003|CO|2026/12/04|A|CETES|261204|LD|0|000760|160|1|000111|1|000760|CR|N|2026/07/01
2026/06/30|14.00|P|2026/06/30|2026/07/14|750000|USD|4.7500|TB260930|99.12500000|7500|000770|US|P|000830|80||P|0.50|N|OP|0|N|N|000000|210|0.1000|30|REP20260630-0004-P-USD-004|PN|2026/09/30|R|TBILL|260930|TB|0|000770|85|0|000770|0|000111|NG|N|2026/07/01
2026/06/30|12.30|A|2026/06/30|2026/07/02|2000000|MXN|8.1000|MC270610|105.67000000|20000|000780|MX|P|000820|20|C|T|1.75|N|SM|0|S|N|000000|080|0.0000|0|REP20260630-0005-A-MXN-005|CV|2027/06/10|R|MBONOS|270610|MC|1|000780|340|0|000780|0|000780|G|N|2026/07/01
2026/06/30|15.20|P|2026/06/30|2026/07/30|4800000|MXN|9.1200|LD260807|98.90000000|48000|000790|MX|T|000830|40|D|P|2.50|N|ER|30|N|N|000000|040|1.5000|28|REP20260630-0006-P-MXN-006|PN|2026/08/07|A|CETES|260807|LD|0|000790|35|0|000790|0|000111|NG|R|2026/07/01
2026/06/30|08.50|A|2026/06/30|2026/07/04|600000|MXN|7.5000|BI270325|101.22000000|6000|000791|MX|P|000820|25|E|P|0.75|N|SM|0|N|N|000000|105|0.0000|0|REP20260630-0007-A-MXN-007|DV|2027/03/25|R|BONDES|270325|BI|0|000791|260|0|000791|0|000791|NG|N|2026/07/01
2026/06/30|13.10|A|2026/06/30|2026/07/10|1500000|MXN|8.0000|IP261219|100.00000000|15000|000792|MX|P|000830|45|A|T|1.25|S|SM|0|N|S|000792|090|0.5000|1|REP20260630-0008-A-MXN-008|CO|2026/12/19|R|IPAB|261219|IP|0|000792|165|1|000792|1|000111|RP|T|2026/07/01
2026/06/30|16.00|P|2026/06/30|2026/07/21|900000|MXN|8.7500|LD260731|99.50000000|9000|000793|MX|P|000820|50|F|P|1.80|N|OP|0|N|N|000000|999|0.0000|0|REP20260630-0009-P-MXN-009|PN|2026/07/31|A|CETES|260731|LD|0|000793|20|0|000793|0|000793|NG|N|2026/07/01
2026/06/30|10.00|A|2026/06/30|2026/07/03|2800000|MXN|8.3000|MC281205|110.25000000|28000|000111|MX|T|000820|95|A|P|1.00|N|SM|0|N|N|000000|107|0.0000|0|REP20260630-0010-A-MXN-010|CV|2028/12/05|R|MBONOS|281205|MC|0|000111|890|0|000111|0|000750|G|U|2026/07/01
