_RowId,_IdLote,_FilaExcel,_FechaCarga,_EsPrueba,FECHACONCERTACION,HORACONCERTACION,POSICIONOPERACION,FECHAINICIO,FECHAVENCIMIENTO,IMPORTEREPORTO,MONEDAPRECIOUNITARIO,TASAPREMIO,TITULOOBJETOREPORTO,PRECIOUNITARIOTITULOS,NUMEROTITULOSOBJETOREPORTO,CONTRAPARTEREPORTO,RESIDENCIA_CONTRAPARTE,PROPIA_TERCEROS,CLIENTE_PROV,CORROELECTRONICO,TIPOPOSTURA,OPERACIONBANCOTRABAJO,HAIRCUT,REP_SUSTITUCION,MODALIDAD_REPORTO,PLAZO_EVERGREEN,REP_CONJUNTO_VAL,REP_AG_TRIPARTITO,AGENTE_TRIPARTITO,TASA_REFERENCIA_PREMIO,SOBRETASA_PREMIO,PERIODO_PAGO_PREMIO,NUMEROIDENTIFICACIONOPERACION,CLASIFICACIONCONTABLEOPERACION,FECHAVENCIMIENTO_TITULO,OFICINA,EMISION,SERIE,TIPOVALOR,SOBRETASA,EMISOR,DIASXVENCER_CUPON,APLICA_ANEXO1C,CUSTODIO,FECHAVALOR,CLIENTE,RESTRICCION,TIPOTASAPREMIO,FECHA_INFO
"56","190","2","2026-07-04T22:07:34.750Z","false","2026-06-21","901","A","2026-06-19","2026-09-20","1000100","MXN","3.51","BI00000001BNDM3Y","10.51","1001","000750","MX","P","1","50","A","P","0.51","N","SM","0","N","N","000111","F","0.01","30","00000001AB00001BNDM0001","CO","2027-02-01","AG","BNDM","A","BONO","0","000111","10","1","000111","0","000111","CR","F","2026-06-21"
"57","190","3","2026-07-04T22:07:34.753Z","false","2026-06-21","902","A","2026-06-19","2026-09-21","1000200","MXN","3.52","BI00000002BNDM3Y","10.52","1002","000111","MX","P","2","50","B","T","0.52","N","SM","0","N","N","000111","V","0.02","60","00000002AB00002BNDM0001","CV","2027-03-01","EF","BNDM","A","BONO","1","000111","20","2","000111","1","000111","NG","V","2026-06-21"
"58","190","4","2026-07-04T22:07:34.757Z","false","2026-06-21","903","A","2026-06-19","2026-09-22","1000300","MXN","3.53","BI00000003BNDM3Y","10.53","1003","000750","MX","P","3","50","C","P","0.53","N","SM","0","N","N","000111","F","0.03","90","00000003AB00003BNDM0001","PN","2027-04-01","FP","BNDM","A","BONO","0","000111","30","3","000111","0","000111","G","F","2026-06-21"
"59","190","5","2026-07-04T22:07:34.757Z","false","2026-06-21","904","A","2026-06-19","2026-09-23","1000400","MXN","3.54","BI00000004BNDM3Y","10.54","1004","000111","MX","P","4","50","D","T","0.54","N","SM","0","N","N","000111","V","0.04","120","00000004AB00004BNDM0001","CO","2027-05-01","RM","BNDM","A","BONO","1","000111","40","4","000111","1","000111","V","V","2026-06-21"
"60","190","6","2026-07-04T22:07:34.757Z","false","2026-06-21","905","A","2026-06-19","2026-09-24","1000500","MXN","3.55","BI00000005BNDM3Y","10.55","1005","000750","MX","P","5","50","A","P","0.55","N","SM","0","N","N","000111","F","0.05","150","00000005AB00005BNDM0001","CV","2027-06-01","AG","BNDM","A","BONO","0","000111","50","1","000111","0","000111","CR","F","2026-06-21"
"61","190","7","2026-07-04T22:07:34.760Z","false","2026-06-21","906","A","2026-06-19","2026-09-25","1000600","MXN","3.56","BI00000006BNDM3Y","10.56","1006","000111","MX","P","6","50","B","T","0.56","N","SM","0","N","N","000111","V","0.06","180","00000006AB00006BNDM0001","PN","2027-07-01","EF","BNDM","A","BONO","1","000111","60","2","000111","1","000111","NG","V","2026-06-21"
"62","190","8","2026-07-04T22:07:34.760Z","false","2026-06-21","907","A","2026-06-19","2026-09-26","1000700","MXN","3.57","BI00000007BNDM3Y","10.57","1007","000750","MX","P","7","50","C","P","0.57","N","SM","0","N","N","000111","F","0.07","210","00000007AB00007BNDM0001","CO","2027-08-01","FP","BNDM","A","BONO","0","000111","70","3","000111","0","000111","G","F","2026-06-21"
"63","190","9","2026-07-04T22:07:34.763Z","false","2026-06-21","908","A","2026-06-19","2026-09-27","1000800","MXN","3.58","BI00000008BNDM3Y","10.58","1008","000111","MX","P","8","50","D","T","0.58","N","SM","0","N","N","000111","V","0.08","240","00000008AB00008BNDM0001","CV","2027-09-01","RM","BNDM","A","BONO","1","000111","80","4","000111","1","000111","V","V","2026-06-21"
"64","190","10","2026-07-04T22:07:34.773Z","false","2026-06-21","909","A","2026-06-19","2026-09-28","1000900","MXN","3.59","BI00000009BNDM3Y","10.59","1009","000750","MX","P","9","50","A","P","0.59","N","SM","0","N","N","000111","F","0.09","270","00000009AB00009BNDM0001","PN","2027-10-01","AG","BNDM","A","BONO","0","000111","90","1","000111","0","000111","CR","F","2026-06-21"
"65","190","11","2026-07-04T22:07:34.773Z","false","2026-06-21","910","A","2026-06-19","2026-09-19","1001000","MXN","3.6","BI00000010BNDM3Y","10.6","1010","000111","MX","P","10","50","B","T","0.6","N","SM","0","N","N","000111","V","0.1","300","00000010AB00010BNDM0001","CO","2027-11-01","EF","BNDM","A","BONO","1","000111","100","2","000111","1","000111","NG","V","2026-06-21"
"66","190","12","2026-07-04T22:07:34.777Z","false","2026-06-21","911","A","2026-06-19","2026-10-01","1001100","MXN","3.61","BI00000011BNDM3Y","10.61","1011","000750","MX","P","11","50","C","P","0.61","N","SM","0","N","N","000111","F","0.11","330","00000011AB00011BNDM0001","CV","2027-12-01","FP","BNDM","A","BONO","0","000111","110","3","000111","0","000111","G","F","2026-06-21"
"67","190","13","2026-07-04T22:07:34.777Z","false","2026-06-21","912","A","2026-06-19","2026-10-02","1001200","MXN","3.62","BI00000012BNDM3Y","10.62","1012","000111","MX","P","12","50","D","T","0.62","N","SM","0","N","N","000111","V","0.12","360","00000012AB00012BNDM0001","PN","2028-01-01","RM","BNDM","A","BONO","1","000111","120","4","000111","1","000111","V","V","2026-06-21"
"68","190","14","2026-07-04T22:07:34.780Z","false","2026-06-21","913","A","2026-06-19","2026-10-03","1001300","MXN","3.63","BI00000013BNDM3Y","10.63","1013","000750","MX","P","13","50","A","P","0.63","N","SM","0","N","N","000111","F","0.13","390","00000013AB00013BNDM0001","CO","2028-02-01","AG","BNDM","A","BONO","0","000111","130","1","000111","0","000111","CR","F","2026-06-21"
