FECHACONCERTACION|TITULOOBJETOREPORTO|PRECIOUNITARIOTITULOS|NUMEROTITULOSOBJETOREPORTO|IMPORTEREPORTO|HAIRCUT|FECHA_FIN_COLATERAL|NUMEROIDENTIFICACIONOPERACION|NUM_ID_CANASTA|SECCION|EMISION|SERIE|TIPOVALOR|FECHA_INFO
2026/06/11|MXN000000000006|60.74074068|600|6000|4.00|2026/12/31|NIO0000000000000000000000000000000006|CAN0000000000000000000000000000000006|1|CETES002|S006|TV03|2026/06/16
2026/06/11|BNDM000000000001|10.12345678|100|1000|2.75|2026/12/31|NIO0000000000000000000000000000000001|CAN0000000000000000000000000000000001|2|CETES002|S001|TV02|2026/06/16
2026/06/13|BONDES000000000003|30.37037034|300|3000|3.25|2026/12/31|NIO0000000000000000000000000000000003|CAN0000000000000000000000000000000003|2|BONDES|S003|TV04|2026/06/16
2026/06/10|UDI000000000005|50.61728390|500|5000|3.75|2026/12/31|NIO0000000000000000000000000000000005|CAN0000000000000000000000000000000005|2|BNDM001|S005|TV02|2026/06/16
2026/06/12|CETES000000000002|20.24691356|200|2000|3.00|2026/12/31|NIO0000000000000000000000000000000002|CAN0000000000000000000000000000000002|1|NA|S002|TV03|2026/06/16
2026/06/14|BI000000000004|40.49382712|400|4000|3.50|2026/12/31|NIO0000000000000000000000000000000004|CAN0000000000000000000000000000000004|1|BPA|S004|TV01|2026/06/16
2026/06/12|BNDM000000000007|70.86419746|700|7000|4.25|2026/12/31|NIO0000000000000000000000000000000007|CAN0000000000000000000000000000000007|2|NA|S007|TV04|2026/06/16
2026/06/14|BONDES000000000009|91.11111102|900|9000|4.75|2026/12/31|NIO0000000000000000000000000000000009|CAN0000000000000000000000000000000009|2|BPA|S009|TV02|2026/06/16
2026/06/13|CETES000000000008|80.98765424|800|8000|4.50|2026/12/31|NIO0000000000000000000000000000000008|CAN0000000000000000000000000000000008|1|BONDES|S008|TV01|2026/06/16
2026/06/10|BI000000000010|101.23456780|1000|10000|5.00|2026/12/31|NIO0000000000000000000000000000000010|CAN0000000000000000000000000000000010|1|BNDM001|S010|TV03|2026/06/16
