FE_CON_OPE|NUM_ID|POS_OPER|OBJ_OPE|PAQ_EST|ID_PAQ_EST|CON_PAQ_EST|ACT_OPE|MON_ACT_OPE|PAS_OPE|MON_PAS_OPE|DUR_ACT|DUR_PAS|ID_GAR_VG|NOCIONAL|MON_NOCIONAL|FECHAINFO
2026-06-16|OFF133-0000000001|S01|NE|7|PAQ-OFF133-001|120|1500000|MXN|1480000|USD|365|365|GAR-OFF133-001|5000000|MXN|2026-06-16
2026-06-16|OFF133-0000000002|S02|CC|7|PAQ-OFF133-002|240|2000000|USD|1980000|EUR|180|180|GAR-OFF133-002|8000000|USD|2026-06-16
2026-06-16|OFF133-0000000003|C01|CT|7|PAQ-OFF133-003|360|3000000|EUR|2950000|MXN|270|270|GAR-OFF133-003|10000000|EUR|2026-06-16
2026-06-17|OFF133-0000000004|C02|CW|7|PAQ-OFF133-004|90|500000|MXN|495000|USD|90|90|GAR-OFF133-004|2000000|MXN|2026-06-17
2026-06-17|OFF133-0000000005|P02|CA|7|PAQ-OFF133-005|150|7500000|USD|7400000|MXN|180|180|GAR-OFF133-005|25000000|USD|2026-06-17
2026-06-17|OFF133-0000000006|P03|CP|7|PAQ-OFF133-006|300|4000000|EUR|3950000|USD|365|365|GAR-OFF133-006|12000000|EUR|2026-06-17
2026-06-18|OFF133-0000000007|S01|JP|7|PAQ-OFF133-007|60|1000000|MXN|990000|EUR|60|60|GAR-OFF133-007|3500000|MXN|2026-06-18
2026-06-18|OFF133-0000000008|S02|NE|7|PAQ-OFF133-008|480|6000000|USD|5950000|MXN|540|540|GAR-OFF133-008|20000000|USD|2026-06-18
2026-06-18|OFF133-0000000009|C01|CC|7|PAQ-OFF133-009|210|2500000|EUR|2480000|USD|270|270|GAR-OFF133-009|9000000|EUR|2026-06-18
2026-06-19|OFF133-0000000010|C02|CT|7|PAQ-OFF133-010|330|3500000|MXN|3450000|EUR|365|365|GAR-OFF133-010|11000000|MXN|2026-06-19
2026-06-19|OFF133-0000000011|P02|CW|7|PAQ-OFF133-011|75|800000|USD|790000|MXN|90|90|GAR-OFF133-011|2800000|USD|2026-06-19
2026-06-19|OFF133-0000000012|P03|CA|7|PAQ-OFF133-012|420|5000000|EUR|4950000|USD|450|450|GAR-OFF133-012|16000000|EUR|2026-06-19
2026-06-20|OFF133-0000000013|S01|CP|7|PAQ-OFF133-013|180|2200000|MXN|2180000|USD|180|180|GAR-OFF133-013|7000000|MXN|2026-06-20
2026-06-20|OFF133-0000000014|S02|JP|7|PAQ-OFF133-014|270|3800000|USD|3760000|EUR|270|270|GAR-OFF133-014|13000000|USD|2026-06-20
2026-06-20|OFF133-0000000015|C02|NE|7|PAQ-OFF133-015|600|9000000|MXN|8900000|USD|730|730|GAR-OFF133-015|30000000|MXN|2026-06-20
