OFICINA|CONT|ID_GAR|CON_GTA|POS_GTA|TIP_GTA|CVE_TIT|EMI_ACT|FE_AV_BI|RE_BM_BI|AFORO|VAL_GTA|MDA_GTA|FECHAINFO
C|000002|GAR00000000000000002|2|E|3|NA|000002|2026-04-17|NR|95.00|1000|978|16/06/2026
B|000006|GAR00000000000000006|6|E|2|MXN|000002|2025-12-18|NR|85.00|3000|484|16/06/2026
E|000004|GAR00000000000000004|4|E|5|BONDES|NA|2026-02-16|NR|90.00|2000|840|16/06/2026
B|000001|GAR00000000000000001|1|R|2|MXN|000001|2026-05-17|NA|97.50|500|840|16/06/2026
C|000007|GAR00000000000000007|7|R|3|NA|000003|2025-11-18|NA|82.50|3500|840|16/06/2026
A|000010|GAR00000000000000010|10|E|1|BNDM|000002|2025-08-20|NR|75.00|5000|840|16/06/2026
D|000008|GAR00000000000000008|8|E|4|CETES|NA|2025-10-19|NR|80.00|4000|978|16/06/2026
A|000005|GAR00000000000000005|5|R|1|BNDM|000001|2026-01-17|NA|87.50|2500|978|16/06/2026
D|000003|GAR00000000000000003|3|R|4|CETES|000003|2026-03-18|NA|92.50|1500|484|16/06/2026
E|000009|GAR00000000000000009|9|R|5|BONDES|000001|2025-09-19|NA|77.50|4500|484|16/06/2026
