CONT|FECHA|NU_ID|NU_FL_RE|IMP_BA_RE|FEIN_FL_RE|FEIN_VE_RE|SUBY_RE|CVE_TIT_RE|NU_SUBY_RE|CUANT_RE|PRE_SUB_RE|NU_FL_EN|IMP_BA_EN|FEIN_FL_EN|FEIN_VE_EN|SUBY_EN|CVE_TIT_EN|NU_SUBY_EN|CUANT_EN|PRE_SUB_EN|MODIFICA|FECHAINFO
791|2026/01/15|D156NU_I07|8|8|2026/01/15|2026/01/15|COP|D156CVE_07|8|D|8.880000|8|8|2026/01/15|2026/01/15|COP|D156CVE_07|8|I|8.880000|BI|2026/01/15
780|2026/01/15|D156NU_I05|6|6|2026/01/15|2026/01/15|CLP|D156CVE_05|6|D|6.660000|6|6|2026/01/15|2026/01/15|CLP|D156CVE_05|6|M|6.660000|AO|2026/01/15
790|2026/01/15|D156NU_I06|7|7|2026/01/15|2026/01/15|CNY|D156CVE_06|7|D|7.770000|7|7|2026/01/15|2026/01/15|CNY|D156CVE_06|7|F|7.770000|AS|2026/01/15
760|2026/01/15|D156NU_I02|3|3|2026/01/15|2026/01/15|AUD|D156CVE_02|3|D|3.330000|3|3|2026/01/15|2026/01/15|AUD|D156CVE_02|3|F|3.330000|BI|2026/01/15
775|2026/01/15|D156NU_I04|5|5|2026/01/15|2026/01/15|CAD|D156CVE_04|5|D|5.550000|5|5|2026/01/15|2026/01/15|CAD|D156CVE_04|5|N|5.550000|CA|2026/01/15
793|2026/01/15|D156NU_I09|10|10|2026/01/15|2026/01/15|DKK|D156CVE_09|10|D|11.100000|10|10|2026/01/15|2026/01/15|DKK|D156CVE_09|10|M|11.100000|CA|2026/01/15
770|2026/01/15|D156NU_I03|4|4|2026/01/15|2026/01/15|SMA|D156CVE_03|4|D|4.440000|4|4|2026/01/15|2026/01/15|SMA|D156CVE_03|4|I|4.440000|BS|2026/01/15
750|2026/01/15|D156NU_I01|2|2|2026/01/15|2026/01/15|ARS|D156CVE_01|2|D|2.220000|2|2|2026/01/15|2026/01/15|ARS|D156CVE_01|2|M|2.220000|AS|2026/01/15
792|2026/01/15|D156NU_I08|9|9|2026/01/15|2026/01/15|CZK|D156CVE_08|9|D|9.990000|9|9|2026/01/15|2026/01/15|CZK|D156CVE_08|9|N|9.990000|BS|2026/01/15
111|2026/01/15|D156NU_I00|1|1|2026/01/15|2026/01/15|NAP|D156CVE_00|1|D|1.110000|1|1|2026/01/15|2026/01/15|NAP|D156CVE_00|1|N|1.110000|AO|2026/01/15
