FECHA_LIQ|HORA_LIQ|TIPO_VALOR|MONTO_PAGOS|MONEDA|ID_PAGOS_REAL|CONT_CORRESPONSAL|CONT_RECEPTORA|CARACT_LIQUIDACION|FECHA_INFO
2026-06-02|08:30|1|5000000|MXN|1|000111|000750|3|2026-06-01
2026-06-03|09:15|2|12500000|USD|1|000750|000760|3|2026-06-01
2026-06-04|10:00|3|8750000|EUR|0|000760|000770|3|2026-06-01
2026-06-05|11:45|10|95000000|MXN|0|000770|000775|3|2026-06-01
2026-06-09|08:00|1|3200000|USD|1|000111|000760|3|2026-06-01
2026-06-10|13:30|2|6400000|MXN|1|000750|000111|3|2026-06-01
2026-06-11|09:00|1|11000000|EUR|1|000760|000750|3|2026-06-01
2026-06-12|14:15|3|2800000|MXN|0|000770|000111|3|2026-06-01
2026-06-16|10:30|10|75000000|USD|0|000775|000750|3|2026-06-01
2026-06-17|08:45|2|4500000|MXN|1|000111|000775|3|2026-06-01
