FECHA_LIQ|HORA_LIQ|TIPO_VALOR|TIPO_OBLIGACION|MONTO_PAGOS|MONEDA|ID_PAGOS|FLAG_HORARIO|ID_PAGOS_RET|FECHA_EST_PAGO|HORA_EST_PAGO|PENALIZACION|MOTIVO_RET|ID_OPERACION|CARACT_LIQUIDACION|FECHA_INFO
2026-06-02|08:30|1|1|5000000|MXN|1|1|1|2026-06-02|08:00|0|0|OP-2026-001|1|2026-06-01
2026-06-03|09:15|2|3|12500000|USD|1|0|4|2026-06-03|09:00|0|0|OP-2026-002|1|2026-06-01
2026-06-04|10:00|3|7|8750000|EUR|1|1|8|2026-06-04|09:30|250000|2|OP-2026-003|2|2026-06-01
2026-06-05|11:45|10|1|95000000|MXN|0|0|1|2026-06-05|11:00|0|0|OP-2026-004|3|2026-06-01
2026-06-09|08:00|1|2|3200000|USD|1|1|2|2026-06-09|07:45|0|0|OP-2026-005|1|2026-06-01
2026-06-10|13:30|2|4|6400000|MXN|1|0|5|2026-06-10|13:00|150000|1|OP-2026-006|2|2026-06-01
2026-06-11|09:00|1|8|11000000|EUR|1|1|3|2026-06-11|08:30|0|0|OP-2026-007|1|2026-06-01
2026-06-12|14:15|3|10|2800000|MXN|1|0|9|2026-06-12|14:00|500000|3|OP-2026-008|2|2026-06-01
2026-06-16|10:30|10|1|75000000|USD|0|0|1|2026-06-16|10:00|0|0|OP-2026-009|3|2026-06-01
2026-06-17|08:45|2|6|4500000|MXN|1|1|7|2026-06-17|08:30|0|0|OP-2026-010|1|2026-06-01
