FECHA_EJE|HORA_USO|ID_LINEA|FECHA_LIQ_L|HORA_LIQ_L|MONTO_EJ_L|MONEDA_EJ_L|CAR_LINEA|PORC_CUBIERTO|TIPO_GAR|MONTO_PENALIZA|MOTIVO_REST|FECHA_INFO
2026/01/15|D212H|D212ID_L00|2026/01/15|D212H|7|AED|0|11.11|1|7|0|2026/01/15
2026/01/15|D212H|D212ID_L01|2026/01/15|D212H|14|AFN|1|22.22|10|14|1|2026/01/15
2026/01/15|D212H|D212ID_L02|2026/01/15|D212H|21|ALL|0|33.33|11|21|2|2026/01/15
2026/01/15|D212H|D212ID_L03|2026/01/15|D212H|28|AMD|1|44.44|12|28|3|2026/01/15
2026/01/15|D212H|D212ID_L04|2026/01/15|D212H|35|ANG|0|55.55|13|35|4|2026/01/15
2026/01/15|D212H|D212ID_L05|2026/01/15|D212H|42|AOA|1|66.66|14|42|0|2026/01/15
2026/01/15|D212H|D212ID_L06|2026/01/15|D212H|49|ARS|0|77.77|15|49|1|2026/01/15
2026/01/15|D212H|D212ID_L07|2026/01/15|D212H|56|AUD|1|88.88|16|56|2|2026/01/15
2026/01/15|D212H|D212ID_L08|2026/01/15|D212H|63|AWG|0|99.99|17|63|3|2026/01/15
2026/01/15|D212H|D212ID_L09|2026/01/15|D212H|70|AZN|1|111.10|18|70|4|2026/01/15
