FECHA_OTORG_L|FECHA_MODIF_L|FECHA_VENC_L|ID_LINEA|ID_CONTRAPARTE|TIPO_LINEA|MONEDA_L|IND_CAMBIOS_L|MONTO_LINEA|FECHA_INFO
2026/01/15|2026/01/15|2026/01/15|D213ID_L00|D213ID|0|AED|1|7|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L01|D213ID|1|AFN|2|14|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L02|D213ID|0|ALL|3|21|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L03|D213ID|1|AMD|1|28|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L04|D213ID|0|ANG|2|35|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L05|D213ID|1|AOA|3|42|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L06|D213ID|0|ARS|1|49|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L07|D213ID|1|AUD|2|56|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L08|D213ID|0|AWG|3|63|2026/01/15
2026/01/15|2026/01/15|2026/01/15|D213ID_L09|D213ID|1|AZN|1|70|2026/01/15
