FE_CON_OPE|IMB_C|NU_ID|FE_LQ_FLU_RE|IMP_BA_RE_I|MDA_IMP_RE_I|FE_LQ_FLU_EN|IMP_BA_EN_I|MD_IMP_EN_I|NU_SEC|MODIFICA
2026/06/15|A|SWAP-MXN-USD-20260615-001-CUOTA01|2026/07/15|25000000|484|2026/07/15|1200000|840|1|AO
2026/06/15|A|SWAP-MXN-USD-20260615-001-CUOTA02|2026/10/15|25000000|484|2026/10/15|1200000|840|2|AO
2026/06/20|B|SWAP-MXN-EUR-20260620-002-CUOTA01|2026/09/20|18000000|484|2026/09/20|850000|978|1|AO
2026/06/20|B|SWAP-MXN-EUR-20260620-002-CUOTA02|2026/12/20|18000000|484|2026/12/20|850000|978|2|AS
2026/06/25|A|SWAP-USD-JPY-20260625-003-CUOTA01|2026/07/25|5000000|840|2026/07/25|750000000|392|1|AO
2026/06/25|A|SWAP-USD-JPY-20260625-003-CUOTA02|2026/10/25|5000000|840|2026/10/25|750000000|392|2|AO
2026/06/28|B|SWAP-MXN-GBP-20260628-004-CUOTA01|2026/08/28|32000000|484|2026/08/28|1500000|826|1|AO
2026/06/28|B|SWAP-MXN-GBP-20260628-004-CUOTA02|2026/11/28|32000000|484|2026/11/28|1500000|826|2|BS
2026/06/30|A|SWAP-MXN-CHF-20260630-005-CUOTA01|2026/09/30|15000000|484|2026/09/30|700000|756|1|AO
2026/06/30|A|SWAP-MXN-CHF-20260630-005-CUOTA02|2026/12/30|15000000|484|2026/12/30|700000|756|2|AO
